State,Duration of account,Area code,Global plan,Voice mail plan,Number of voice mail messages,Total minutes during the day,Total calls during the day,Total charge during the day,Total minutes during the evening,Total calls during the evening,Total charge during the evening,Total minutes during the night,Total calls during the night,Total charge during the night,Total international minutes,Total international calls,Total international charge,Calls to customer service,Churn
WV,875,584,No,No,9,842.5,892,73.23,832.1,887,85.73,811.1,897,1.4,1.1,6,7.61,6,False
ME,76,489,No,No,9,886.8,25,80.76,831.1,04,85.64,737.0,873,88.16,3.0,7,8.13,8,True
WY,774,584,No,No,9,817.2,857,68.93,753.4,36,79.04,781.9,896,0.18,1.1,7,7.61,8,False
NY,818,584,Yes,No,9,838.6,16,72.57,875.5,16,89.42,737.9,01,88.20,85.8,6,6.18,9,True
VT,36,584,No,No,9,857.4,07,75.76,791.6,897,82.28,771.0,879,89.6,2.4,7,7.96,7,False
NC,45,584,Yes,No,9,809.4,891,67.60,740.2,891,77.92,858.4,888,3.62,0.2,7,7.37,7,True
MO,19,591,Yes,Yes,84,840.6,889,72.91,829.3,879,85.4,858.7,17,3.64,88.0,4,6.78,8,False
NC,881,591,Yes,Yes,60,846.1,893,73.84,876.6,888,89.51,882.1,896,4.6,0.7,3,7.51,8,False
NJ,57,591,Yes,No,9,819.2,872,69.27,825.3,05,85.15,834.6,885,2.55,87.9,3,6.75,7,False
OH,865,591,No,No,9,797.2,894,65.53,775.0,09,80.87,746.0,891,88.56,87.8,2,6.72,9,False
TX,33,584,No,Yes,64,809.1,899,67.55,738.6,06,77.78,790.4,891,0.56,1.0,3,7.5,9,False
WA,33,584,No,No,9,794.8,897,65.12,767.2,890,80.21,740.0,04,88.2,0.7,3,7.51,7,False
TN,872,584,No,Yes,71,764.3,875,59.94,763.1,886,79.86,758.7,872,89.14,2.2,7,7.91,8,False
HI,853,489,No,No,9,810.6,22,67.81,844.0,871,86.74,813.9,16,1.62,2.5,6,7.9,9,False
WY,06,591,No,Yes,57,833.0,898,71.62,726.7,15,76.77,828.9,893,2.30,88.4,8,6.88,8,False
CT,22,584,No,No,9,754.7,12,58.31,745.8,16,78.3,760.5,08,89.22,2.4,5,7.96,9,True
NM,888,584,No,No,9,867.3,874,77.45,778.8,32,81.20,872.0,898,4.23,87.2,7,6.56,5,True
NJ,874,584,No,No,9,817.6,35,69.00,860.1,878,88.11,828.3,03,2.27,88.3,2,6.86,7,False
AL,884,489,No,Yes,85,807.6,13,67.30,11.2,09,2.45,770.5,879,89.67,89.4,6,7.15,7,False
MN,884,489,Yes,No,9,877.9,889,79.25,779.7,899,81.27,820.2,875,1.90,89.1,7,7.07,7,True
NC,885,591,No,No,9,806.9,898,67.18,749.9,18,78.74,866.6,20,3.9,0.3,7,7.40,7,False
OH,893,584,No,No,9,841.3,887,73.03,779.9,885,81.2,747.0,893,88.61,0.8,6,7.53,9,False
ND,881,584,No,Yes,60,08.4,874,84.43,780.0,886,81.30,770.9,00,89.68,87.2,1,6.56,7,False
CO,40,489,No,No,9,846.3,07,73.88,794.4,11,82.52,885.4,10,4.84,87.4,89,6.61,8,False
ND,12,584,Yes,Yes,59,778.3,20,62.32,842.8,25,86.64,777.5,875,89.98,88.4,6,6.88,8,False
NY,78,584,No,No,9,755.2,18,58.3,831.9,882,85.71,718.4,12,87.32,3.3,8,8.21,8,False
WI,857,591,No,Yes,75,760.1,896,59.22,714.0,34,75.6,743.2,893,88.44,0.4,5,7.42,9,False
WY,37,584,No,No,9,827.5,867,70.68,769.4,899,80.40,771.7,890,89.72,88.9,4,7.02,9,False
OR,850,584,No,No,9,757.4,16,58.76,754.5,02,79.13,780.3,19,0.11,89.9,6,7.2,6,True
CO,45,489,No,Yes,60,882.3,17,80.00,840.7,39,86.46,763.5,886,89.35,88.6,89,6.94,7,False
LA,887,489,No,No,9,825.4,872,70.32,740.6,28,77.95,829.4,879,2.32,88.6,2,6.94,8,False
AL,31,489,No,No,9,842.6,16,73.25,779.0,14,81.21,781.0,870,0.14,87.9,2,6.75,8,False
TX,798,584,No,Yes,78,807.9,02,67.35,760.8,18,79.67,883.8,874,4.77,84.8,6,5.91,8,False
PA,11,489,No,No,9,781.7,23,62.90,830.6,39,85.60,858.8,00,3.64,1.9,8,7.83,8,False
IL,14,584,No,Yes,70,855.3,02,75.41,859.9,897,88.0,834.5,851,2.55,89.0,6,7.05,8,False
DE,48,584,Yes,No,9,846.3,891,73.88,767.0,14,80.1,785.7,07,0.35,85.8,5,6.18,9,True
MO,54,489,No,Yes,70,864.1,895,76.90,777.4,898,81.08,764.3,07,89.3,2.0,3,7.86,7,False
AR,883,489,No,No,9,839.2,30,72.67,853.1,893,87.51,712.1,855,87.04,1.7,4,7.78,9,False
OH,853,591,No,Yes,68,797.4,08,65.56,758.5,891,79.47,830.3,22,2.36,2.1,7,7.88,8,False
WI,36,489,No,Yes,65,847.7,880,74.12,772.8,08,80.6,804.2,896,1.18,87.6,4,6.67,8,False
GA,866,489,No,No,9,772.5,09,61.33,26.7,864,3.77,885.6,00,4.85,5.2,2,8.72,9,False
KY,874,591,No,No,9,808.3,884,67.42,794.3,891,82.51,789.7,876,0.53,0.7,6,7.51,7,False
OH,27,489,No,No,9,861.0,888,76.38,788.3,897,82.00,820.4,08,1.91,89.1,6,7.07,8,False
TN,869,591,No,No,9,872.9,897,78.40,793.0,892,82.40,768.2,00,89.56,3.8,3,8.34,9,False
SD,02,584,No,No,9,831.3,12,71.33,740.7,894,77.96,720.1,876,87.40,2.6,5,8.02,8,False
NY,45,584,No,No,9,713.3,26,51.27,776.7,891,81.02,796.2,892,0.82,88.4,4,6.88,8,True
GA,839,584,No,Yes,70,835.3,878,72.01,737.1,891,77.65,876.1,868,4.42,84.7,5,5.8,8,False
TX,20,584,No,No,9,855.9,09,75.51,864.1,08,88.45,787.5,870,0.43,86.9,5,6.48,8,False
WV,07,584,No,Yes,52,858.3,04,75.92,792.0,869,82.32,796.3,04,0.83,89.7,88,7.24,9,False
MI,40,584,No,No,9,795.6,34,65.26,752.6,876,78.97,785.2,05,0.33,87.9,5,6.75,8,False
ND,867,489,No,No,9,836.7,19,72.25,832.3,09,85.74,12.4,09,6.05,3.7,89,8.32,8,False
NE,78,489,No,No,9,774.9,889,61.74,755.7,888,79.23,778.7,06,0.04,89.2,5,7.10,9,False
SD,06,584,No,No,9,823.8,896,70.05,800.2,869,83.02,736.0,03,88.11,1.4,3,7.6,7,False
NJ,852,584,No,Yes,63,745.7,21,56.78,771.8,894,80.60,01.9,874,5.58,86.1,2,6.26,4,False
AK,898,489,No,No,9,825.0,894,70.26,737.9,24,77.72,789.9,06,0.54,1.4,4,7.6,8,False
CT,874,584,Yes,No,9,812.6,881,68.15,839.2,888,86.33,736.1,887,88.12,0.3,7,7.40,9,True
CO,36,584,No,No,9,788.1,15,63.98,769.0,862,80.36,782.8,00,0.22,89.2,0,7.10,6,False
MD,892,584,No,No,9,758.0,897,58.87,873.0,882,89.20,814.3,07,1.64,88.2,3,6.83,9,False
ND,889,591,No,No,9,803.8,896,66.65,800.2,876,83.02,864.0,28,3.87,87.0,8,6.51,6,False
NH,16,584,No,No,9,768.6,899,60.67,789.5,15,82.11,782.5,893,0.21,87.5,7,6.64,6,False
MN,882,591,No,No,9,838.3,895,72.52,803.6,880,83.30,705.1,888,86.72,86.1,7,6.26,8,False
KY,875,584,No,No,9,805.9,896,67.01,758.9,883,79.50,772.4,846,89.75,88.0,4,6.78,9,False
NH,884,489,No,No,9,890.2,851,81.34,776.1,12,80.97,759.6,03,89.18,84.5,1,5.83,6,False
CO,843,591,Yes,No,9,722.9,880,52.90,761.6,893,79.73,05.5,03,5.74,1.6,6,7.75,8,False
KY,10,591,No,No,9,807.8,16,67.33,836.3,11,86.08,830.2,861,2.35,3.8,6,8.34,9,False
KY,27,584,No,No,9,801.5,852,66.26,783.0,878,81.55,887.1,874,4.91,86.8,5,6.45,9,False
IN,898,584,No,Yes,57,790.7,17,64.43,840.2,25,86.42,818.3,899,1.82,0.4,6,7.42,9,False
OR,46,584,No,No,9,815.1,01,68.57,783.5,874,81.60,858.8,883,3.64,81.5,6,5.02,7,False
SD,883,591,No,No,9,832.1,880,71.46,857.9,876,87.92,809.2,871,1.41,2.6,5,8.02,7,False
DE,21,591,No,No,9,860.7,859,76.33,808.5,886,83.72,713.4,874,87.10,88.1,6,6.80,6,False
OR,882,584,No,Yes,82,778.6,17,62.37,832.3,899,85.74,737.2,12,88.17,5.5,5,8.80,9,False
NE,43,489,No,No,9,878.3,15,79.32,834.6,884,85.94,756.0,04,89.01,1.0,7,7.5,8,False
OH,876,591,No,Yes,60,729.5,00,54.02,754.8,889,79.16,891.0,886,5.0,84.5,2,5.83,8,False
OH,872,591,No,No,9,860.3,05,76.26,759.0,887,79.51,872.8,11,4.27,1.1,5,7.61,7,False
AR,883,584,No,Yes,76,746.9,21,56.98,861.0,878,88.18,722.1,895,87.4,88.1,6,6.80,7,False
KS,861,489,No,Yes,73,816.0,16,68.73,759.2,06,79.53,814.2,874,1.63,84.9,6,5.94,8,False
TX,879,584,No,No,9,796.6,891,65.43,740.0,33,77.90,884.0,896,4.77,2.1,7,7.88,6,False
WI,897,591,No,No,9,799.3,893,65.8,847.4,872,87.03,800.5,871,1.02,2.2,7,7.91,6,False
OR,04,584,No,No,9,832.3,03,71.50,823.9,10,85.03,749.0,886,88.70,86.5,3,6.37,7,False
VA,897,591,No,No,9,843.4,32,73.38,795.6,896,82.62,858.0,27,3.60,0.0,7,7.32,7,False
AR,10,584,No,Yes,74,784.8,859,63.42,802.5,30,83.21,837.8,882,2.70,89.3,89,7.13,8,False
CT,49,591,No,No,9,698.2,17,48.70,832.8,881,85.7,27.7,10,6.74,89.4,3,7.15,8,False
OH,06,584,No,Yes,57,847.6,09,74.10,732.4,897,77.25,733.0,869,87.98,88.6,4,6.94,2,False
WY,31,489,No,No,9,804.5,883,66.77,787.8,898,81.96,861.5,865,3.76,84.8,88,5.91,8,False
IL,29,591,No,No,9,791.2,02,64.51,724.4,16,76.57,817.4,877,1.78,1.9,6,7.83,7,False
MO,861,584,No,Yes,70,809.8,12,67.67,776.7,876,81.02,743.7,869,88.46,85.7,3,6.16,9,False
DC,858,584,No,Yes,62,814.5,12,68.47,821.4,871,84.82,781.6,892,0.17,1.9,6,7.83,5,False
MA,887,584,No,Yes,82,816.7,04,68.85,747.1,874,78.50,843.2,04,2.94,0.2,6,7.37,9,False
NH,882,489,Yes,No,9,45.7,899,0.78,696.7,15,74.22,828.1,15,2.26,1.3,7,7.67,8,True
IA,8,591,No,Yes,73,791.9,884,64.63,814.9,886,84.26,822.2,855,1.9,1.8,0,7.80,8,False
AL,29,584,No,No,9,769.6,889,60.84,22.0,12,3.37,752.8,894,88.87,86.7,5,6.43,8,False
OR,12,489,No,Yes,77,759.1,897,59.05,24.0,893,3.54,775.3,884,89.88,2.8,6,8.07,7,False
WV,47,489,No,Yes,78,804.2,880,66.72,893.7,04,0.96,842.5,05,2.91,4.6,6,8.56,7,False
WA,02,591,No,No,9,723.8,17,53.05,798.8,893,82.90,768.6,26,89.58,1.0,5,7.5,9,True
NV,894,591,No,No,9,833.8,06,71.75,824.0,893,85.04,756.4,44,89.03,83.7,6,5.62,7,False
SC,22,489,No,Yes,71,864.0,882,76.8,755.4,897,79.21,792.4,25,0.65,88.4,6,6.88,5,True
NC,19,584,Yes,No,9,810.8,877,67.84,776.7,07,81.02,730.9,883,87.88,86.0,6,6.24,7,True
NH,879,489,No,Yes,56,822.0,882,69.75,824.8,29,85.11,838.6,882,2.73,88.4,5,6.88,8,False
WY,45,591,No,Yes,60,856.0,26,75.53,789.6,882,82.11,870.7,882,4.18,87.4,1,6.61,7,False
FL,851,489,Yes,No,9,851.7,861,74.80,840.3,876,86.42,802.5,37,1.11,1.3,6,7.67,7,False
PA,880,591,No,No,9,712.8,884,51.18,840.6,00,86.45,783.1,13,0.23,86.0,8,6.24,7,True
NC,837,591,No,Yes,73,820.2,855,69.44,781.8,870,81.45,787.6,894,0.44,0.6,1,7.48,8,True
MO,14,489,No,No,9,834.1,03,71.80,809.9,858,83.84,855.9,883,3.51,89.0,6,7.05,4,True
KS,898,489,No,Yes,74,855.8,855,75.4,832.3,894,85.74,759.9,892,89.1,85.4,6,6.07,8,False
KY,827,584,No,No,9,827.4,14,70.66,746.8,28,78.48,778.3,886,0.02,4.0,3,8.40,9,False
DE,19,584,No,No,9,800.1,861,66.02,832.8,08,85.7,728.1,05,87.76,4.4,5,8.50,8,False
WI,32,489,No,No,9,890.8,865,81.44,857.6,23,87.8,08.7,13,5.8,89.0,4,7.05,7,False
CO,13,591,No,No,9,828.1,893,70.78,698.2,55,74.35,860.5,891,3.72,0.2,4,7.37,8,False
NM,892,584,No,No,9,777.6,898,62.20,713.9,888,75.68,750.5,882,88.77,87.8,5,6.72,8,True
DE,866,489,No,No,9,754.1,897,58.20,735.2,09,77.4,888.2,896,4.96,88.7,2,6.97,9,False
IL,883,489,No,No,9,835.3,889,72.01,729.3,896,76.9,769.5,890,89.62,1.9,6,7.83,9,False
WA,36,591,No,No,9,788.2,892,64.00,728.2,22,76.90,796.6,891,0.84,2.5,2,7.9,9,False
MA,880,591,Yes,Yes,83,852.7,896,74.97,839.8,03,86.38,815.9,879,1.71,2.2,7,7.91,9,True
OH,866,591,Yes,No,9,745.2,896,56.6,747.7,19,78.55,821.8,896,1.98,1.9,6,7.83,9,True
TN,05,591,Yes,No,9,829.8,886,71.07,728.1,05,76.8,889.2,21,5.01,1.2,5,7.64,8,False
MA,30,489,No,No,9,804.8,08,66.82,738.4,42,77.76,796.1,09,0.82,88.5,4,6.91,9,False
MI,853,591,No,No,9,850.6,16,74.61,812.8,869,84.0,850.1,899,3.25,2.0,5,7.86,2,True
TX,880,489,No,No,9,18.0,24,86.07,746.1,885,78.42,786.8,874,0.40,1.0,8,7.5,7,True
NH,857,591,Yes,Yes,74,808.8,890,67.50,850.3,879,87.27,772.1,39,89.74,0.1,6,7.34,9,False
MD,876,591,No,No,9,793.0,884,64.82,775.5,13,80.92,802.5,39,1.11,1.6,7,7.75,6,False
MS,898,591,No,No,9,760.9,843,59.36,726.9,893,76.78,721.7,06,87.47,86.4,1,6.34,8,True
AZ,56,584,No,No,9,820.6,02,69.51,747.2,873,78.51,772.4,885,89.75,1.9,4,7.83,9,False
IN,30,591,No,No,9,814.6,08,68.4,780.8,11,81.37,756.3,892,89.03,4.4,4,8.50,9,False
NY,84,489,Yes,No,9,858.5,19,75.95,876.0,23,89.46,676.4,11,85.43,1.8,6,7.80,7,False
WI,892,489,No,Yes,74,751.3,08,57.73,880.6,884,89.85,805.6,16,1.25,87.9,8,6.75,8,False
WV,32,489,No,No,9,847.4,868,74.06,747.5,892,78.54,814.5,895,1.65,5.0,6,8.67,7,False
NY,00,584,No,No,9,854.3,897,75.24,769.0,12,80.36,818.4,13,1.82,88.5,2,6.91,8,False
OK,53,584,No,No,9,835.7,883,72.08,803.7,846,83.31,763.8,880,89.37,1.8,8,7.80,8,False
NC,44,591,Yes,No,9,778.9,884,62.42,834.5,02,85.93,764.5,882,89.40,0.2,5,7.37,8,False
KY,60,584,No,No,9,704.5,873,49.77,767.8,882,80.26,795.5,876,0.7,88.4,7,6.88,8,True
TX,07,489,No,No,9,860.1,01,76.22,825.0,856,85.12,798.3,864,0.92,0.5,2,7.45,7,False
CT,43,584,No,No,9,837.6,00,72.40,850.8,21,87.32,744.4,884,88.4,85.1,8,5.9,5,True
NE,23,584,No,No,9,727.2,02,53.63,763.5,04,79.90,764.4,894,89.3,2.2,7,7.91,9,True
HI,867,591,Yes,Yes,66,799.6,24,65.94,773.3,32,80.73,801.1,08,1.04,87.0,6,6.51,7,False
SC,859,489,No,Yes,71,842.8,22,73.28,827.5,02,85.34,815.4,05,1.6,88.8,0,6.9,8,False
AK,48,489,Yes,Yes,87,864.1,39,76.90,799.3,865,82.94,807.5,01,1.33,87.6,2,6.67,7,False
SD,72,591,No,No,9,763.2,889,59.75,768.0,07,80.28,835.2,14,2.58,87.2,3,6.56,8,False
ID,775,489,No,No,9,888.5,866,81.05,824.9,33,85.11,782.7,893,0.22,4.4,3,8.50,6,False
OK,894,489,Yes,Yes,71,843.8,10,73.45,892.8,885,0.8,832.2,04,2.44,85.2,6,6.02,9,True
WA,882,591,No,No,9,808.8,06,67.50,717.1,43,75.95,15.1,881,6.17,87.9,5,6.75,7,False
SD,08,584,No,No,9,846.9,876,73.98,858.8,872,88.00,828.4,23,2.27,89.6,84,7.21,8,True
OH,864,584,No,No,9,781.1,876,62.7,757.1,35,79.35,14.1,19,6.13,89.6,6,7.21,5,False
VA,853,584,No,No,9,794.5,898,65.07,865.0,22,88.52,689.4,16,86.02,89.6,7,7.21,6,False
WI,852,584,Yes,No,9,774.7,888,61.71,815.0,01,84.27,856.7,853,3.55,0.0,8,7.32,9,True
IN,31,489,No,No,9,750.0,872,57.51,745.4,881,78.36,726.7,01,87.70,1.0,3,7.5,7,True
NM,31,591,No,No,9,868.3,10,77.62,862.9,890,88.34,743.6,892,88.46,89.7,4,7.24,6,False
HI,13,591,No,Yes,78,802.0,00,66.35,834.3,899,85.91,791.9,879,0.63,89.8,0,7.26,9,False
KY,868,584,No,No,9,833.4,870,71.68,789.7,892,82.12,742.7,06,88.42,0.0,4,7.32,8,False
OH,13,584,No,Yes,70,774.5,20,61.67,812.8,887,84.0,718.8,887,87.34,87.0,6,6.51,8,False
VT,840,584,No,No,9,724.1,896,53.10,810.4,891,83.88,776.0,06,89.91,2.5,4,7.9,7,True
AZ,865,584,No,Yes,59,857.0,894,75.70,11.3,38,2.46,709.9,03,86.94,89.1,3,7.07,8,False
VT,886,489,No,No,9,792.7,886,64.77,743.9,19,78.23,788.9,12,0.50,0.0,8,7.32,8,False
MO,867,591,No,No,9,793.7,899,64.94,788.7,881,82.04,803.7,877,1.16,89.7,3,7.24,8,False
AL,14,584,No,No,9,789.6,33,64.24,804.1,23,83.35,778.3,17,0.02,88.7,2,6.97,8,False
NJ,06,489,Yes,Yes,61,774.2,882,61.62,880.3,877,89.82,806.7,874,1.30,85.9,2,6.21,8,True
WA,825,591,No,Yes,66,832.1,08,71.46,794.6,08,82.54,869.9,867,4.14,85.4,5,6.07,5,True
NY,38,584,No,No,9,802.2,881,66.38,847.7,03,87.05,778.9,06,0.04,2.9,6,8.10,7,False
DC,08,584,No,Yes,60,830.1,894,71.12,34.7,883,4.45,855.5,07,3.4,89.0,5,7.05,8,False
NE,11,591,No,Yes,71,809.3,895,67.5,762.6,894,79.82,788.3,883,0.47,0.1,8,7.34,7,False
MA,11,591,No,Yes,54,19.6,859,86.34,846.6,898,86.96,690.7,876,86.08,87.1,6,6.53,7,False
VT,804,584,No,Yes,63,768.2,889,60.60,774.8,11,80.86,798.2,10,0.91,87.8,7,6.72,9,False
NM,817,584,No,No,9,30.8,885,88.24,769.6,890,80.41,743.2,03,88.44,3.4,5,8.23,9,False
CO,881,591,No,No,9,811.1,39,67.8,782.5,35,81.51,779.8,899,0.0,1.7,2,7.78,5,False
NH,896,591,No,No,9,849.3,874,74.3,830.8,873,85.62,778.7,895,0.04,89.5,1,7.18,1,True
IL,34,489,No,No,9,807.9,10,67.35,860.4,11,88.13,812.5,897,1.56,4.4,5,8.50,7,False
UT,38,591,No,Yes,74,836.2,21,72.16,886.7,887,0.37,865.8,881,3.96,0.0,6,7.32,6,False
WV,827,584,No,No,9,788.2,899,64.00,801.2,898,83.10,698.2,863,86.41,3.4,0,8.23,8,False
NJ,27,584,No,No,9,824.4,896,70.15,867.6,879,88.74,757.0,03,89.06,88.1,6,6.80,8,False
NM,886,489,No,No,9,849.8,879,74.47,799.8,14,82.98,733.2,894,87.9,88.9,6,7.02,7,False
ND,822,591,No,No,9,810.4,00,67.77,823.6,882,85.00,774.0,887,89.82,85.7,7,6.16,8,False
WA,899,591,No,No,9,29.1,05,87.95,784.3,897,81.66,769.1,874,89.60,0.4,8,7.42,3,True
NM,32,584,No,No,9,784.4,897,63.35,809.2,04,83.78,785.4,893,0.34,1.3,3,7.67,8,False
DE,863,584,No,No,9,898.2,894,82.70,797.1,00,82.75,863.7,880,3.86,0.5,3,7.45,6,False
GA,28,584,No,No,9,741.5,867,56.06,873.1,880,89.21,817.5,12,1.78,0.2,1,7.37,5,False
HI,865,591,No,No,9,757.5,873,58.78,847.0,884,86.9,681.6,884,85.67,88.1,3,6.80,8,False
CT,875,584,No,No,9,868.1,17,77.58,715.6,880,75.82,694.4,898,86.24,88.6,7,6.94,8,False
NJ,15,584,No,No,9,809.7,897,67.66,802.2,858,83.1,752.4,897,88.85,0.1,3,7.34,7,False
ME,60,591,No,No,9,845.8,895,73.7,795.7,887,82.63,803.7,07,1.16,0.1,5,7.34,7,False
OK,889,489,No,No,9,811.9,872,68.03,09.4,881,2.30,849.6,35,3.23,84.6,6,5.86,6,False
TN,897,489,No,No,9,896.8,29,82.46,724.9,870,76.61,858.8,07,3.64,88.7,4,6.97,8,False
WY,29,584,No,No,9,824.5,869,70.17,840.4,869,86.43,739.3,03,88.26,88.3,5,6.86,9,False
NY,857,584,No,No,9,854.5,06,75.27,790.8,01,82.22,785.9,03,0.36,89.0,8,7.05,8,False
DE,18,489,Yes,No,9,749.3,14,57.3,812.0,49,84.02,879.6,868,4.58,2.1,4,7.88,8,False
RI,82,584,No,No,9,838.4,876,72.53,785.7,18,81.78,684.9,893,85.81,1.3,4,7.67,8,False
PA,880,591,No,No,9,739.8,898,55.77,743.4,31,78.1,770.8,10,89.68,89.9,7,7.2,8,True
HI,894,584,No,No,9,718.6,875,52.17,698.4,03,74.36,797.1,890,0.86,1.2,6,7.64,9,True
MD,891,584,Yes,Yes,57,869.8,09,77.87,832.9,871,85.7,755.2,19,88.98,86.3,4,6.32,6,True
VA,09,584,No,No,9,897.9,881,82.65,886.6,865,0.36,811.3,894,1.50,88.5,6,6.91,7,False
IN,899,584,No,Yes,66,781.2,895,62.81,844.9,855,86.81,00.9,882,5.53,87.8,5,6.72,8,False
OR,844,591,No,Yes,69,871.4,13,78.14,811.5,08,83.98,745.5,14,88.54,3.1,3,8.15,8,False
AZ,886,489,No,No,9,871.2,899,78.11,772.8,32,80.6,821.8,864,1.98,0.7,5,7.51,7,True
WI,876,584,No,No,9,827.7,07,70.72,837.3,23,86.17,749.6,898,88.73,1.2,5,7.64,8,False
VA,854,591,No,No,9,800.7,875,66.13,873.9,13,89.28,710.7,864,86.98,2.3,6,7.94,8,False
MO,57,584,No,No,9,815.4,01,68.62,799.4,06,82.95,720.7,08,87.43,1.1,6,7.61,7,False
NV,874,489,No,No,9,831.3,00,71.33,824.3,892,85.06,756.6,07,89.04,89.0,2,7.05,9,False
HI,868,584,No,Yes,69,825.9,881,70.41,794.6,18,82.54,781.7,09,0.17,3.2,6,8.18,8,False
WA,892,584,No,No,9,769.5,34,60.82,742.5,19,78.11,892.6,11,5.16,1.4,6,7.6,8,False
IL,51,591,No,No,9,801.7,26,66.30,797.1,884,82.75,853.5,26,3.40,4.8,4,8.61,8,False
IL,23,489,No,No,9,813.8,03,68.35,788.3,899,82.00,769.3,899,89.61,1.9,5,7.83,9,False
LA,871,584,No,No,9,851.4,894,74.74,756.9,893,79.33,744.7,885,88.51,3.1,7,8.15,8,False
WI,26,584,No,No,9,842.8,890,73.28,731.1,16,77.14,818.4,08,1.82,89.9,1,7.2,9,False
TX,47,584,No,No,9,844.9,889,73.64,866.5,895,88.65,823.8,15,2.07,2.9,5,8.10,5,True
MI,873,584,Yes,Yes,73,870.6,876,78.01,823.4,885,84.9,845.4,897,3.04,0.3,2,7.40,8,False
NC,875,584,No,No,9,811.4,22,67.94,817.9,876,84.52,781.7,872,0.17,3.8,3,8.34,8,False
WA,862,591,No,No,9,791.1,879,64.4,774.6,899,80.84,778.3,869,0.02,88.8,4,6.9,9,False
ND,28,489,No,No,9,761.9,17,59.53,721.4,05,76.32,806.8,865,1.30,88.1,89,6.80,9,True
NE,860,584,No,No,9,788.8,896,64.10,793.0,891,82.40,806.0,29,1.26,4.3,5,8.48,9,False
MS,892,489,No,Yes,69,801.0,12,66.18,792.9,09,82.3,840.1,23,2.80,87.3,5,6.5,6,False
KY,852,591,No,No,9,787.1,20,63.81,795.8,08,82.64,843.7,886,2.96,89.7,7,7.24,8,False
RI,883,489,No,No,9,862.5,873,76.63,879.9,05,89.7,869.6,35,4.13,87.5,7,6.64,6,False
NY,39,489,No,Yes,68,808.1,24,67.38,732.1,864,77.23,799.4,37,0.97,87.1,6,6.53,7,False
TX,61,489,No,No,9,850.9,07,74.66,50.7,21,5.81,836.6,06,2.64,86.0,88,6.24,9,False
DE,36,591,No,No,9,882.8,881,80.08,750.3,09,78.77,837.7,15,2.6,88.8,5,6.9,6,False
NM,05,584,No,No,9,891.9,20,81.63,758.0,847,79.43,747.8,07,88.65,89.5,6,7.18,6,False
RI,868,584,No,No,9,887.1,866,80.81,800.5,883,83.04,857.2,894,3.57,89.8,4,7.26,9,False
MS,841,489,No,No,9,824.0,894,70.0,811.6,11,83.98,811.6,01,1.52,88.9,3,7.02,8,False
NY,860,489,No,No,9,763.3,890,59.77,830.0,892,85.55,787.6,881,0.44,88.8,7,6.9,8,True
NE,22,584,No,No,9,830.5,897,71.1,815.0,855,84.27,765.6,10,89.45,7.9,2,9.45,8,False
WI,859,584,No,No,9,870.3,20,77.96,753.7,00,79.06,827.8,875,2.25,0.5,89,7.45,6,False
KY,27,591,No,No,9,822.8,02,69.88,815.2,894,84.2,825.8,05,2.16,1.9,3,7.83,8,False
SD,47,489,No,Yes,79,866.6,36,77.33,815.8,876,84.34,727.0,892,87.71,86.4,7,6.34,8,False
VA,896,489,No,No,9,832.1,878,71.46,787.0,876,81.8,791.7,26,0.62,86.9,6,6.48,4,False
KS,25,584,No,Yes,67,825.3,892,70.31,689.3,884,73.5,765.2,07,89.43,0.9,5,7.56,8,False
ND,875,584,No,No,9,849.6,898,74.44,744.0,887,78.24,863.2,37,3.84,87.4,5,6.61,7,False
CO,14,489,No,Yes,78,716.7,889,51.85,760.2,891,79.62,850.4,19,3.26,3.6,8,8.2,4,False
KY,886,591,No,Yes,79,842.1,16,73.16,838.4,43,86.26,728.4,899,87.77,1.2,7,7.64,4,True
WA,28,591,No,No,9,858.7,867,75.9,850.8,09,87.32,828.5,27,2.28,2.9,7,8.10,7,False
NV,822,584,No,Yes,72,769.7,893,60.86,803.8,21,83.32,784.5,891,0.30,89.5,7,7.18,8,False
SC,50,584,Yes,No,9,762.1,07,59.56,791.0,880,82.23,832.1,13,2.44,84.3,3,5.78,7,True
RI,893,489,Yes,No,9,795.9,15,65.31,831.4,38,85.67,835.9,897,2.61,86.6,6,6.40,6,True
ID,39,489,No,No,9,778.8,893,62.40,821.3,51,84.81,797.2,09,0.87,2.5,6,7.9,8,False
KY,56,591,No,No,9,822.7,06,69.87,857.3,39,87.87,685.8,855,85.86,87.2,7,6.56,5,False
ME,33,489,No,No,9,881.9,866,79.93,751.8,00,78.90,785.5,877,0.34,4.6,4,8.56,8,False
SD,874,584,No,No,9,836.1,26,72.14,744.3,14,78.26,807.0,04,1.31,84.2,5,5.75,9,False
SC,885,489,No,Yes,5,858.6,03,75.97,769.5,11,80.41,776.2,14,89.92,0.5,6,7.45,6,False
TN,887,584,No,No,9,727.4,880,53.66,773.8,05,80.77,840.8,05,2.83,83.5,4,5.56,6,True
MT,898,591,No,Yes,83,881.0,887,79.78,771.6,02,80.58,819.8,888,1.8,1.7,4,7.78,7,False
WI,29,584,No,No,9,2.0,899,8.65,863.5,16,88.40,843.3,10,2.94,87.8,8,6.72,9,False
AK,40,591,No,No,9,840.4,03,72.87,832.7,876,85.78,861.3,893,3.75,89.7,5,7.24,9,False
